,synis_id,stod,nr,lengd,kyn,kynthroski,oslaegt,slaegt,lifur,lat,lon,lat1,lon1,depth.start,depth.end,year,month,day
21229,702,1469,6,90,1,1,5840,5390,160,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21230,702,1469,7,89,2,4,6700,5930,270,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21231,702,1469,8,73,1,4,3860,3230,125,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21232,702,1469,9,85,2,1,5445,4935,170,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21233,702,1469,10,78,2,4,4430,3940,175,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21236,702,1469,11,85,2,1,5995,5025,310,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21246,702,1469,12,76,1,1,3905,3565,85,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21262,702,1469,13,81,2,1,4910,4420,135,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
21272,702,1469,14,89,2,1,6405,5535,335,65.67783333,-21.52166667,65.66866667,-21.446,99,142,2018,10,
22017,703,1470,6,87,2,1,6165,5135,280,65.66516667,-21.376,65.6785,-21.305,145,97,2018,10,
22018,703,1470,7,90,2,4,6685,5965,365,65.66516667,-21.376,65.6785,-21.305,145,97,2018,10,
22019,703,1470,8,103,2,4,11595,9570,680,65.66516667,-21.376,65.6785,-21.305,145,97,2018,10,
29517,685,1455,6,73,2,1,3353,3002,84,65.4645,-21.033,65.43266667,-21.01333333,85,84,2018,10,
29518,685,1455,7,65,2,4,2564,2267,110,65.4645,-21.033,65.43266667,-21.01333333,85,84,2018,10,
29519,685,1455,8,62,1,4,2084,1815,81,65.4645,-21.033,65.43266667,-21.01333333,85,84,2018,10,
29520,685,1455,9,65,1,1,2435,2225,33,65.4645,-21.033,65.43266667,-21.01333333,85,84,2018,10,
30055,687,1458,6,80,1,4,4733,4250,144,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
30056,687,1458,7,75,1,4,3872,3368,116,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
30057,687,1458,8,104,2,4,11995,9560,565,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
30058,687,1458,9,80,1,4,4395,3930,125,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
30059,687,1458,10,68,2,4,2705,2455,85,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
30060,687,1458,11,61,2,1,2175,1935,110,65.45583333,-21.01,65.42366667,-20.9995,86,84,2018,10,
