sample.id;synaflokkur;gear;cruise;station;vessel;year;month;day;pos.start.n;pos.start.w;pos.end.n;pos.end.w;depth.start;depth.end;stat.square;towlength;townumber;species;number;length;sex;maturity;age;ungutted;gutted;gonads;liver
487491;35;78;A12-2018;622;2350;2018;10;25;673879;193529;674089;192993;419;436;769;3;2;1;1;87;2;2;7;5882;4658;127;528
487491;35;78;A12-2018;622;2350;2018;10;25;673879;193529;674089;192993;419;436;769;3;2;1;2;72;1;2;7;3308;2699;34;291
487491;35;78;A12-2018;622;2350;2018;10;25;673879;193529;674089;192993;419;436;769;3;2;1;3;80;2;2;7;4598;3624;70;344.9
487491;35;78;A12-2018;622;2350;2018;10;25;673879;193529;674089;192993;419;436;769;3;2;1;4;80;2;2;6;4785.9;3788;75;502
487491;35;78;A12-2018;622;2350;2018;10;25;673879;193529;674089;192993;419;436;769;3;2;1;5;70;2;1;5;3356;2584;NA;237
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;1;88;1;2;6;5206;4372;62;242
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;2;77;1;2;6;3444;2804;86.9;274
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;3;68;1;1;5;2455;2125;NA;154
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;4;101;2;52;9;8425;7180;141.9;510
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;5;89;1;2;7;5930;4962;58;461
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;6;87;2;52;7;5194;4312;96;343
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;7;94;2;2;8;6500;5460;117;374
487498;35;78;A12-2018;630;2350;2018;10;26;671285;181795;671299;181032;467;476;718;3;2;1;8;73;1;1;6;3206;2729;NA;201
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;16;66;1;1;5;2505.9;2142.9;NA;127
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;17;96;2;2;7;9590;7855;171.9;927
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;18;67;2;1;6;2879;2334;NA;285.9
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;19;62;1;1;5;2114;1758;NA;159
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;20;76;2;1;6;4120;3416;NA;363
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;21;64;1;1;4;2361;1975;NA;157
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;22;66;2;1;5;2616;2194;NA;125
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;23;91;2;2;9;7280;5926;NA;508
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;24;100;1;2;9;7890;6465;301;309
487499;35;78;A12-2018;631;2350;2018;10;26;670974;175087;670973;174340;391;370;717;3;21;1;25;83;1;1;7;4024;3456;NA;236
487504;35;78;A12-2018;636;2350;2018;10;26;670939;163705;671026;163007;382;393;716;3;21;1;1;80;2;1;7;4702;3846;NA;405
487504;35;78;A12-2018;636;2350;2018;10;26;670939;163705;671026;163007;382;393;716;3;21;1;2;99;2;2;9;7675;6505;128;368
487504;35;78;A12-2018;636;2350;2018;10;26;670939;163705;671026;163007;382;393;716;3;21;1;3;91;2;2;7;6765;5352;106;415
487504;35;78;A12-2018;636;2350;2018;10;26;670939;163705;671026;163007;382;393;716;3;21;1;4;102;2;2;10;9315;7525;189;606
487504;35;78;A12-2018;636;2350;2018;10;26;670939;163705;671026;163007;382;393;716;3;21;1;5;93;2;2;8;6985;5690;NA;404
